seed,dataset,feature,model,distillation_method,n_distill_steps,alpha,real_mse,transfer_mse,acf_short,acf_long,fft_distance,trend_error,variance_diff,freq_rank_error,peak_mag_ratio,cross_corr_error
123,ETTh1,1,CNN,MTT,300,0.0,0.388774066718611,0.4683117133303056,0.191620121952931,0.0981501515713661,0.4654103615343229,0.931909235022697,0.8253046870231628,0.0,0.2429604189779217,0.3066624199464817
123,ETTh1,2,CNN,MTT,300,0.0,0.388774066718611,0.4683117133303056,0.3744179001467468,0.2036636585768154,0.6714647637168257,1.4419605594796376,0.4832687377929687,0.0,0.7772786317154823,0.3066624199464817
123,ETTh1,3,CNN,MTT,300,0.0,0.388774066718611,0.4683117133303056,0.0854897873317165,0.0578401213957757,0.6477739299227165,0.6637194461775349,0.8694524168968201,15.0,0.3215068881970419,0.3066624199464817
123,ETTh1,4,CNN,MTT,300,0.0,0.388774066718611,0.4683117133303056,0.1031092356967925,0.0634557686082604,0.4104925927864321,0.6651360164930811,0.4685630202293396,14.0,0.2456839870718403,0.3066624199464817
123,ETTh1,5,CNN,MTT,300,0.0,0.388774066718611,0.4683117133303056,0.5063184966883452,0.358824161611798,0.2081264184556882,0.80927768157431,0.8732457160949707,1.0,0.7957458050648979,0.3066624199464817
123,ETTh1,6,CNN,MTT,300,0.0,0.388774066718611,0.4683117133303056,0.2579956420360692,0.1585422199837863,0.5219079918496864,1.2446946404881718,0.8897175788879395,15.0,0.0827171636874361,0.3066624199464817
123,ETTh1,0,CNN,MTT,300,0.1,0.388774066718611,0.4389706230636457,0.3709388316037016,0.2089625063637675,0.5531999825312258,1.3462416003133504,0.2309612035751342,0.0,0.6904447676169815,0.3064067297271667
123,ETTh1,1,CNN,MTT,300,0.1,0.388774066718611,0.4389706230636457,0.1884568424654392,0.1017568230598995,0.4188693129023879,0.9055525991813772,0.8161903023719788,0.0,0.2186644076045544,0.3064067297271667
123,ETTh1,2,CNN,MTT,300,0.1,0.388774066718611,0.4389706230636457,0.372667412259038,0.2042862662536672,0.6043182953275851,1.3998561028950445,0.3561601638793945,0.0,0.6995506826758048,0.3064067297271667
123,ETTh1,3,CNN,MTT,300,0.1,0.388774066718611,0.4389706230636457,0.0919819159544427,0.0582132657303621,0.5829965536131715,0.6245721408947568,0.8627421259880066,15.0,0.2893562102754792,0.3064067297271667
123,ETTh1,4,CNN,MTT,300,0.1,0.388774066718611,0.4389706230636457,0.097486859723927,0.0610585877148346,0.3694433210339364,0.6962115650773396,0.47793048620224,14.0,0.2211156879006317,0.3064067297271667
123,ETTh1,5,CNN,MTT,300,0.1,0.388774066718611,0.4389706230636457,0.4785331761130233,0.3511900520164969,0.1873137720425241,0.8133127874355962,0.8709257245063782,1.0,0.7161712352100035,0.3064067297271667
123,ETTh1,6,CNN,MTT,300,0.1,0.388774066718611,0.4389706230636457,0.2357854536244132,0.1507239686308453,0.4697171954481754,1.199893344529296,0.891498327255249,15.0,0.0744454744687892,0.3064067297271667
123,ETTh1,0,CNN,MTT,300,0.2,0.388774066718611,0.4858947614976521,0.3668165009720547,0.2076171854310235,0.4917333682149721,1.296276257251965,0.129901647567749,0.0,0.6137286689826235,0.3056959290421212
123,ETTh1,1,CNN,MTT,300,0.2,0.388774066718611,0.4858947614976521,0.1860302202884211,0.1052017603326865,0.3723282995536072,0.8794842347605261,0.806271493434906,0.0,0.1943682388396213,0.3056959290421212
123,ETTh1,2,CNN,MTT,300,0.2,0.388774066718611,0.4858947614976521,0.3705992546838386,0.2047771842908262,0.5371718822666399,1.339081259928908,0.2356106042861938,0.0,0.6218229507739255,0.3056959290421212
123,ETTh1,3,CNN,MTT,300,0.2,0.388774066718611,0.4858947614976521,0.0988613342526515,0.0593014128761542,0.5182191372381085,0.5871490551364448,0.8551985025405884,15.0,0.2572055323539164,0.3056959290421212
123,ETTh1,4,CNN,MTT,300,0.2,0.388774066718611,0.4858947614976521,0.0911977500328033,0.0588005277959692,0.3283940638515352,0.7273156993252257,0.4842289090156555,14.0,0.1965471952279687,0.3056959290421212
123,ETTh1,5,CNN,MTT,300,0.2,0.388774066718611,0.4858947614976521,0.4469672631510142,0.3419113233858554,0.1665011372784522,0.8224075537332548,0.8668932318687439,1.0,0.6365966391724166,0.3056959290421212
123,ETTh1,6,CNN,MTT,300,0.2,0.388774066718611,0.4858947614976521,0.2133097432026962,0.1432469309384574,0.4175263990951154,1.153103449226896,0.892914354801178,15.0,0.0661737034979263,0.3056959290421212
123,ETTh1,0,CNN,MTT,300,0.3,0.388774066718611,0.4406960440485092,0.3620564598024227,0.2058490449998698,0.4302666799991583,1.2540690974384268,0.034205675125122,0.0,0.5370125703482654,0.3045221505586505
123,ETTh1,1,CNN,MTT,300,0.3,0.388774066718611,0.4406960440485092,0.1842615549839299,0.1087114571141726,0.3257872665475055,0.8530977026969561,0.7955482602119446,0.0,0.1700721750023987,0.3045221505586505
