seed,dataset,model,distillation_method,n_distill_steps,alpha,real_mse,transfer_mse,acf_short,acf_long,fft_distance,trend_error,variance_diff,freq_rank_error,peak_mag_ratio,cross_corr_error
42,weather,DLinear,MTT,300,0.7,0.1958539927043902,0.2063926483270007,0.1681255492823849,0.1343815334461968,0.0716421736797184,0.5492713321939794,0.703423798084259,0.0952380952380952,0.1514171167887823,0.327781277088023
42,weather,DLinear,MTT,300,1.0,0.1958539927043902,0.2069093080237861,0.1508794670544422,0.126111935878365,9.358899953054312e-08,0.5423105135621834,0.7133912444114685,0.0,1.419656969573547e-07,0.2964523234163871
7,ETTh1,MLP,MTT,300,0.0,0.390773174,0.400968705,0.375042986,0.219349995,0.329463148,1.158693621,0.553981185,2.285714286,0.358107391,0.382956456
7,ETTh1,MLP,MTT,300,0.1,0.390773174,0.403905923,0.36114581,0.213441377,0.296516827,1.164962646,0.553785145,2.285714286,0.322296657,0.387054723
7,ETTh1,MLP,MTT,300,0.2,0.390773174,0.410234988,0.345666764,0.207025541,0.263570518,1.173635464,0.55257225,2.285714286,0.286485908,0.391421138
7,ETTh1,MLP,MTT,300,0.3,0.390773174,0.426584107,0.328865135,0.200028098,0.230624191,1.18177319,0.571278632,2.285714286,0.250675152,0.396041867
7,ETTh1,MLP,MTT,300,0.5,0.390773174,0.444439701,0.291561731,0.184719023,0.164731575,1.198820261,0.604783952,2.285714286,0.17905374,0.405946214
7,ETTh1,MLP,MTT,300,0.7,0.390773174,0.467832681,0.250242364,0.169708759,0.098838941,1.218724501,0.628799736,0.142857143,0.107432253,0.416449683
7,ETTh1,MLP,MTT,300,1.0,0.390773174,0.513359088,0.186615604,0.14598107,7.56e-08,1.251241884,0.647030413,0.0,1.04e-07,0.43208123
42,ETTh1,MLP,MTT,300,0.0,0.3963284989753482,0.4145566214187803,0.2833795754375446,0.1602392056808291,0.3560483710279151,0.8707119031773326,0.6686137318611145,2.2857142857142856,0.2892422012417608,0.2661170693867154
42,ETTh1,MLP,MTT,300,0.1,0.3963284989753482,0.4298547895258182,0.2744436373846525,0.1582805339766894,0.320443542819345,0.86156308253781,0.673764705657959,2.2857142857142856,0.2603180034945958,0.2684778600746017
42,ETTh1,MLP,MTT,300,0.2,0.3963284989753482,0.4195996894748371,0.2645961196042253,0.1564701613132318,0.2848386994367464,0.8553861612339109,0.6772913336753845,2.2857142857142856,0.2313937417880707,0.2713498022604736
42,ETTh1,MLP,MTT,300,0.3,0.3963284989753482,0.4288936052585734,0.2543775168371763,0.1544695592899797,0.2492338555187599,0.8487032507034622,0.6791936755180359,0.2857142857142857,0.2024695354544761,0.2747333315976556
42,ETTh1,MLP,MTT,300,0.5,0.3963284989753482,0.4270423879865562,0.2319374423787331,0.1497629219005805,0.1780241937567916,0.8360232541291956,0.6781256794929504,0.2857142857142857,0.1446211064745169,0.2830060363339416
42,ETTh1,MLP,MTT,300,0.7,0.3963284989753482,0.4520723653693703,0.2076644691747459,0.1437582039677236,0.1068145173013628,0.8264434000235281,0.6705604195594788,0.0,0.0867727028614702,0.29311761394238
42,ETTh1,MLP,MTT,300,1.0,0.3963284989753482,0.4564175513398701,0.1707024541096517,0.1338252958068219,6.758634693151222e-08,0.8221953789087321,0.6470304131507874,0.0,4.945529622211215e-08,0.3106319358533122
123,ETTh1,MLP,MTT,300,0.0,0.3949365090455541,0.4904801714488601,0.2777043890000395,0.1408465092913291,0.273247712426476,1.1913106456111535,0.7618699073791504,2.857142857142857,0.3766681475020582,0.3547491367492984
123,ETTh1,MLP,MTT,300,0.1,0.3949365090455541,0.4881974127737591,0.2691577958780646,0.140811619265957,0.245922931750856,1.1869617054378403,0.758682370185852,2.857142857142857,0.3390012919639595,0.3599467160779584
123,ETTh1,MLP,MTT,300,0.2,0.3949365090455541,0.4958959337889848,0.2601238194312011,0.140615526372755,0.2185981636272043,1.1758850381970731,0.7536512017250061,2.857142857142857,0.3013344894643802,0.3632434263482892
123,ETTh1,MLP,MTT,300,0.3,0.3949365090455541,0.4827521522850055,0.2505889860716984,0.1401646088470651,0.1912733980529438,1.1711820691224624,0.7467764616012573,2.857142857142857,0.2636677228159341,0.3649397179644224
123,ETTh1,MLP,MTT,300,0.5,0.3949365090455541,0.5054893146164959,0.230575374709737,0.140349242704639,0.1366238506138897,1.1669509692304365,0.7274957895278931,4.428571428571429,0.1883340666686355,0.3644864099041866
