dataset,expert_model,student_model,seed,method,phase_boundary,student_lr,synthetic_lr,n_distill_steps,real_mse,transfer_mse,mse_ratio,n_pairs_available,notes
ETTm1,MLP,CNN,123,param_mtt,,0.01,5.0,1000,0.3420424103873514,0.5757991293731972,1.6834144301612315,81,
ETTm1,MLP,CNN,123,phase_aware_mtt,9,0.01,5.0,1000,0.3420424103873514,0.44028905776511684,1.2872352795856645,81,
ETTm1,MLP,MLP,123,param_mtt,,0.01,5.0,1000,0.3418640656961654,0.6884681249318227,2.0138651411924196,81,
ETTm1,MLP,MLP,123,phase_aware_mtt,9,0.01,5.0,1000,0.3418640656961654,0.47922045329045143,1.401786561903124,81,
ETTm2,DLinear,DLinear,7,param_mtt,,0.01,5.0,1000,0.19360817114561812,0.19768672730359507,1.0210660331836374,81,
ETTm2,DLinear,DLinear,7,phase_aware_mtt,13,0.01,5.0,1000,0.19360817114561812,0.21316778164003322,1.1010267819724602,81,
ETTm2,DLinear,CNN,7,param_mtt,,0.01,5.0,1000,0.20102821390740858,0.23562389031591371,1.1720936366894228,81,
ETTm2,DLinear,CNN,7,phase_aware_mtt,13,0.01,5.0,1000,0.20102821390740858,0.24198233625348986,1.2037232563034377,81,
ETTm2,DLinear,MLP,7,param_mtt,,0.01,5.0,1000,0.18250893349124328,0.23716126533924473,1.299450173767103,81,
ETTm2,DLinear,MLP,7,phase_aware_mtt,13,0.01,5.0,1000,0.18250893349124328,0.22939685697814904,1.2569075529070222,81,
ETTm2,DLinear,DLinear,42,param_mtt,,0.01,5.0,1000,0.19360817114561812,0.2154638597634083,1.1128861890924628,81,
ETTm2,DLinear,DLinear,42,phase_aware_mtt,8,0.01,5.0,1000,0.19360817114561812,0.2118244336040688,1.0940882936430907,81,
ETTm2,DLinear,CNN,42,param_mtt,,0.01,5.0,1000,0.20102821390740858,3.6488466180736006,18.15091795897973,81,
ETTm2,DLinear,CNN,42,phase_aware_mtt,8,0.01,5.0,1000,0.20102821390740858,0.22411787614706122,1.1148578191630727,81,
ETTm2,DLinear,MLP,42,param_mtt,,0.01,5.0,1000,0.18250893349124328,0.5682705869055594,3.1136590195067075,81,
ETTm2,DLinear,MLP,42,phase_aware_mtt,8,0.01,5.0,1000,0.18250893349124328,0.4181548559326573,2.2911473314412865,81,
ETTm2,DLinear,DLinear,123,param_mtt,,0.01,5.0,1000,0.19360817114561812,0.19870077474472286,1.026303660475541,81,
ETTm2,DLinear,DLinear,123,phase_aware_mtt,7,0.01,5.0,1000,0.19360817114561812,0.22758192031373825,1.175476835337531,81,
ETTm2,DLinear,CNN,123,param_mtt,,0.01,5.0,1000,0.20102821390740858,0.24674015926000561,1.2273906953859295,81,
ETTm2,DLinear,CNN,123,phase_aware_mtt,7,0.01,5.0,1000,0.20102821390740858,0.24848635498429258,1.236077017023803,81,
ETTm2,DLinear,MLP,123,param_mtt,,0.01,5.0,1000,0.18250893349124328,0.22196141899930097,1.2161674212509197,81,
ETTm2,DLinear,MLP,123,phase_aware_mtt,7,0.01,5.0,1000,0.18250893349124328,0.2349457517593891,1.2873109675514143,81,
ETTm2,CNN,DLinear,7,param_mtt,,0.01,5.0,1000,0.19360817114561812,0.195793125235663,1.0112854435694323,81,
ETTm2,CNN,DLinear,7,phase_aware_mtt,1,0.01,5.0,1000,0.19360817114561812,0.20035185436240036,1.0348316043526393,81,
ETTm2,CNN,CNN,7,param_mtt,,0.01,5.0,1000,0.20102821390740858,3.750463258648485,18.656402431033428,81,
ETTm2,CNN,CNN,7,phase_aware_mtt,1,0.01,5.0,1000,0.20102821390740858,0.3077119627631902,1.5306904278865006,81,
ETTm2,CNN,MLP,7,param_mtt,,0.01,5.0,1000,0.18250893349124328,0.9619259123639712,5.270568919357167,81,
ETTm2,CNN,MLP,7,phase_aware_mtt,1,0.01,5.0,1000,0.18250893349124328,3.5517080704376105,19.460461482604742,81,
ETTm2,CNN,DLinear,42,param_mtt,,0.01,5.0,1000,0.19360817114561812,0.2165202835116198,1.118342693030083,81,
ETTm2,CNN,DLinear,42,phase_aware_mtt,8,0.01,5.0,1000,0.19360817114561812,0.22340565970680099,1.1539061517128393,81,
ETTm2,CNN,CNN,42,param_mtt,,0.01,5.0,1000,0.20102821390740858,0.28207521921348433,1.4031623409010894,81,
ETTm2,CNN,CNN,42,phase_aware_mtt,8,0.01,5.0,1000,0.20102821390740858,0.2525303934851922,1.2561937878108242,81,
ETTm2,CNN,MLP,42,param_mtt,,0.01,5.0,1000,0.18250893349124328,0.23096493540896318,1.2654993429132322,81,
ETTm2,CNN,MLP,42,phase_aware_mtt,8,0.01,5.0,1000,0.18250893349124328,0.24186395773132904,1.3252170899510165,81,
ETTm2,CNN,DLinear,123,param_mtt,,0.01,5.0,1000,0.19360817114561812,0.20222208334205424,1.0444914703003798,81,
ETTm2,CNN,DLinear,123,phase_aware_mtt,4,0.01,5.0,1000,0.19360817114561812,0.23110658445544102,1.1936819767881557,81,
ETTm2,CNN,CNN,123,param_mtt,,0.01,5.0,1000,0.20102821390740858,0.24535947780901285,1.2205225974997858,81,
ETTm2,CNN,CNN,123,phase_aware_mtt,4,0.01,5.0,1000,0.20102821390740858,0.2543440707758142,1.265215791515525,81,
ETTm2,CNN,MLP,123,param_mtt,,0.01,5.0,1000,0.18250893349124328,0.220073364500678,1.2058224235431032,81,
ETTm2,CNN,MLP,123,phase_aware_mtt,4,0.01,5.0,1000,0.18250893349124328,0.23843983665411456,1.3064557010605446,81,
ETTm2,MLP,DLinear,7,param_mtt,,0.01,5.0,1000,0.19360817114561812,0.2060077067664654,1.0640444850414978,81,
ETTm2,MLP,DLinear,7,phase_aware_mtt,7,0.01,5.0,1000,0.19360817114561812,0.21489011878704942,1.1099227760662258,81,
ETTm2,MLP,CNN,7,param_mtt,,0.01,5.0,1000,0.20102821390740858,0.3246509377325626,1.6149521075787567,81,
ETTm2,MLP,CNN,7,phase_aware_mtt,7,0.01,5.0,1000,0.20102821390740858,0.23210835973185723,1.1546058894935207,81,
ETTm2,MLP,MLP,7,param_mtt,,0.01,5.0,1000,0.18250893349124328,0.25465067340071357,1.3952778558805814,81,
ETTm2,MLP,MLP,7,phase_aware_mtt,7,0.01,5.0,1000,0.18250893349124328,0.24518446164838198,1.34341074137144,81,
