dataset,model,seed,epoch,val_loss_raw,val_loss_smooth,is_boundary
ETTh1,MLP,7,53,0.6592743,0.65997977,False
ETTh1,MLP,7,54,0.66136446,0.65979416,False
ETTh1,MLP,7,55,0.65802013,0.65854899,False
ETTh1,MLP,7,56,0.65605751,0.65857929,False
ETTh1,MLP,7,57,0.65802851,0.65732381,False
ETTh1,MLP,7,58,0.65942582,0.65693924,False
ETTh1,MLP,7,59,0.65508705,0.65730155,False
ETTh1,MLP,7,60,0.65609728,0.6572893,False
ETTh1,MLP,7,61,0.65786907,0.65665023,False
ETTh1,MLP,7,62,0.65796728,0.65743875,False
ETTh1,MLP,7,63,0.65623049,0.65714538,False
ETTh1,MLP,7,64,0.65902966,0.65715598,False
ETTh1,MLP,7,65,0.65463042,0.65706567,False
ETTh1,MLP,7,66,0.65792207,0.65796874,False
ETTh1,MLP,7,67,0.65751574,0.65742899,False
ETTh1,MLP,7,68,0.6607458,0.6574314,False
ETTh1,MLP,7,69,0.65633093,0.65693588,False
ETTh1,MLP,7,70,0.65464244,0.65608309,False
ETTh1,MLP,7,71,0.65544447,0.65661878,False
ETTh1,MLP,7,72,0.65325178,0.65610405,False
ETTh1,MLP,7,73,0.66342427,0.65717653,False
ETTh1,MLP,7,74,0.65375727,0.65773468,False
ETTh1,MLP,7,75,0.66000486,0.65938292,False
ETTh1,MLP,7,76,0.6582352,0.65846625,False
ETTh1,MLP,7,77,0.66149299,0.65803618,False
ETTh1,MLP,7,78,0.65884091,0.65730139,False
ETTh1,MLP,7,79,0.65160696,0.65706794,False
ETTh1,MLP,7,80,0.65633091,0.65559293,False
ETTh1,MLP,42,1,0.98476834,0.86340695,False
ETTh1,MLP,42,2,0.8443803,0.83091002,False
ETTh1,MLP,42,3,0.76107223,0.80802543,False
ETTh1,MLP,42,4,0.73341921,0.75177868,False
ETTh1,MLP,42,5,0.71648708,0.72272752,False
ETTh1,MLP,42,6,0.70353459,0.70876982,False
ETTh1,MLP,42,7,0.6991245,0.69946351,False
ETTh1,MLP,42,8,0.69128371,0.6927707,False
ETTh1,MLP,42,9,0.68688767,0.68823696,False
ETTh1,MLP,42,10,0.68302301,0.68476815,False
ETTh1,MLP,42,11,0.68086589,0.6820062,False
ETTh1,MLP,42,12,0.68178049,0.68047928,False
ETTh1,MLP,42,13,0.67747395,0.67895408,False
ETTh1,MLP,42,14,0.67925307,0.67736975,False
ETTh1,MLP,42,15,0.67539699,0.67580301,False
ETTh1,MLP,42,16,0.67294424,0.67480155,False
ETTh1,MLP,42,17,0.67394683,0.67347453,True
ETTh1,MLP,42,18,0.67246664,0.67280074,False
ETTh1,MLP,42,19,0.67261795,0.67269897,False
ETTh1,MLP,42,20,0.67202803,0.67226264,False
ETTh1,MLP,42,21,0.67243539,0.67160163,False
