dataset,model,seed,epoch,train_loss,val_loss,param_movement_raw,param_movement_smooth,segment_id,is_boundary
ETTh1,CNN,7,17,0.35936184,0.67170846,0.09696709,0.1012577,1,False
ETTh1,CNN,7,18,0.3593386,0.67081188,0.09659183,0.09773211,1,False
ETTh1,CNN,7,19,0.35820532,0.67192368,0.10064164,0.09364984,1,False
ETTh1,CNN,7,20,0.35724132,0.66239143,0.09029717,0.09181005,1,False
ETTh1,CNN,7,21,0.36131059,0.66343922,0.08375146,0.0902944,1,False
ETTh1,CNN,7,22,0.35740835,0.66357184,0.08776814,0.08933132,1,False
ETTh1,CNN,7,23,0.35847141,0.65915041,0.0890136,0.08677557,1,False
ETTh1,CNN,7,24,0.3576971,0.66722354,0.09582622,0.08599919,1,False
ETTh1,CNN,7,25,0.35853141,0.66106919,0.07751845,0.08329411,1,False
ETTh1,CNN,7,26,0.35517566,0.66053733,0.07986952,0.0797947,1,False
ETTh1,CNN,7,27,0.35464551,0.65866128,0.07424278,0.07522833,1,False
ETTh1,CNN,7,28,0.35488873,0.66453228,0.07151651,0.07310852,1,False
ETTh1,CNN,7,29,0.35394265,0.66167975,0.07299438,0.07091078,1,False
ETTh1,CNN,7,30,0.35480066,0.65886609,0.06691944,0.06983536,1,False
ETTh1,CNN,7,31,0.35815531,0.6559691,0.06888077,0.06763827,1,False
ETTh1,CNN,7,32,0.35319379,0.65833808,0.0688657,0.06653487,1,False
ETTh1,CNN,7,33,0.35400294,0.65642058,0.06053105,0.06581791,1,False
ETTh1,CNN,7,34,0.35261945,0.66406931,0.0674774,0.06440225,1,False
ETTh1,CNN,7,35,0.35239855,0.65441495,0.06333465,0.06220805,1,False
ETTh1,CNN,7,36,0.35233094,0.66404178,0.06180247,0.06291609,1,False
ETTh1,CNN,7,37,0.35364123,0.66207132,0.05789467,0.06131329,1,False
ETTh1,CNN,7,38,0.35261168,0.65564839,0.06407126,0.05948291,1,False
ETTh1,CNN,7,39,0.35249635,0.66048426,0.05946338,0.05881103,1,False
ETTh1,CNN,7,40,0.35154502,0.65751789,0.05418278,0.06115501,1,False
ETTh1,CNN,7,41,0.35247467,0.66313549,0.05844304,0.05929698,1,False
ETTh1,CNN,7,42,0.36030036,0.65807345,0.06961461,0.05922158,1,False
ETTh1,CNN,7,43,0.35450235,0.65924249,0.05478107,0.05882011,1,False
ETTh1,CNN,7,44,0.35206829,0.65697504,0.0590864,0.05812448,1,False
ETTh1,CNN,7,45,0.3517979,0.65417144,0.0521754,0.05520115,1,False
ETTh1,CNN,7,46,0.35109831,0.65864862,0.05496491,0.05776417,1,False
ETTh1,CNN,7,47,0.35597547,0.6544704,0.05499795,0.05849547,1,False
ETTh1,CNN,7,48,0.35333263,0.66555599,0.06759618,0.05831438,1,False
ETTh1,CNN,7,49,0.3512505,0.65287266,0.06274293,0.05712135,1,False
ETTh1,CNN,7,50,0.35047004,0.65455368,0.05126991,0.05631957,1,False
ETTh1,CNN,7,51,0.35031935,0.65550298,0.04899979,0.05378081,1,False
ETTh1,CNN,7,52,0.3512513,0.65410602,0.05098905,0.05247405,1,False
ETTh1,CNN,7,53,0.35228177,0.65237398,0.05490235,0.05636725,1,False
ETTh1,CNN,7,54,0.35595527,0.65840136,0.05620917,0.05829983,1,False
ETTh1,CNN,7,55,0.35223488,0.6554564,0.07073592,0.05768555,1,False
ETTh1,CNN,7,56,0.35023226,0.65553372,0.05866264,0.05635434,1,False
ETTh1,CNN,7,57,0.34969601,0.66239636,0.04791768,0.05616498,1,False
ETTh1,CNN,7,58,0.34966843,0.66652798,0.04824628,0.05251273,1,False
ETTh1,CNN,7,59,0.35176757,0.65774183,0.05526236,0.05129943,1,False
ETTh1,CNN,7,60,0.35215472,0.66740398,0.05247468,0.05185152,1,False
ETTh1,CNN,7,61,0.3495206,0.65813404,0.05259616,0.05238111,1,False
ETTh1,CNN,7,62,0.35055075,0.66184092,0.05067814,0.05083757,1,False
ETTh1,CNN,7,63,0.34906268,0.65505352,0.05089421,0.04968771,1,False
ETTh1,CNN,7,64,0.34879804,0.65160226,0.04754466,0.04858816,1,False
ETTh1,CNN,7,65,0.34977952,0.65594683,0.04672537,0.04819584,1,False
ETTh1,CNN,7,66,0.34894309,0.65578699,0.04709843,0.05048887,1,False
ETTh1,CNN,7,67,0.35212956,0.65013196,0.04871656,0.05103792,1,False
ETTh1,CNN,7,68,0.34977352,0.66171745,0.06235933,0.05050852,1,False
